,1,2,3,4,5,6,7,8,9,10,11,12
A,"Y293+EBB769,c1","Y293+EBB770,c1","Y293+EBB771,c1","Y293+EBB772,c1","Y293+EBB773,c1","Y293+EBB774,c1","Y293+EBB775,c1","Y293+EBB776,c1","Y293+EBB783,c1","Y293+EBB797,c1",Y293,Y293
B,"Y293+EBB769,c1","Y293+EBB770,c1","Y293+EBB771,c1","Y293+EBB772,c1","Y293+EBB773,c1","Y293+EBB774,c1","Y293+EBB775,c1","Y293+EBB776,c1","Y293+EBB783,c1","Y293+EBB797,c1",Y293,Y293
C,"Y293+EBB769,c1","Y293+EBB770,c1","Y293+EBB771,c1","Y293+EBB772,c1","Y293+EBB773,c1","Y293+EBB774,c1","Y293+EBB775,c1","Y293+EBB776,c1","Y293+EBB783,c1","Y293+EBB797,c1",Y293,Y293
D,"Y293+EBB769,c2","Y293+EBB770,c2","Y293+EBB771,c2","Y293+EBB772,c2","Y293+EBB773,c2","Y293+EBB774,c2","Y293+EBB775,c2","Y293+EBB776,c2","Y293+EBB783,c2","Y293+EBB797,c2",Y293,Y293
E,"Y293+EBB769,c2","Y293+EBB770,c2","Y293+EBB771,c2","Y293+EBB772,c2","Y293+EBB773,c2","Y293+EBB774,c2","Y293+EBB775,c2","Y293+EBB776,c2","Y293+EBB783,c2","Y293+EBB797,c2",Y293,Y293
F,"Y293+EBB769,c2","Y293+EBB770,c2","Y293+EBB771,c2","Y293+EBB772,c2","Y293+EBB773,c2","Y293+EBB774,c2","Y293+EBB775,c2","Y293+EBB776,c2","Y293+EBB783,c2","Y293+EBB797,c2",Y293,Y293
G,Y11,Y243,Y310,Y371,Y11,Y243,Y310,Y371,Y11,Y243,Y310,Y371
H,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD
