,1,2,3,4,5,6,7,8,9,10,11,12
A,0.8502,0.7785,0.8148,0.7881,0.8251,0.78,0.7418,0.8206,0.7402,0.7931,0.8059,0.8348
B,0.8625,0.802,0.7923,0.7701,0.8198,0.7646,0.7199,0.7901,0.7291,0.757,0.7799,0.7632
C,0.8848,0.8345,0.7717,0.7559,0.7996,0.7629,0.692,0.7867,0.7179,0.7718,0.8477,0.8309
D,0.8504,0.8124,0.7654,0.756,0.7213,0.792,0.7767,0.8151,0.7375,0.7749,0.8235,0.896
E,0.8974,0.8411,0.7512,0.7467,0.7488,0.7585,0.7295,0.7868,0.7186,0.7592,0.8247,0.8094
F,0.8406,0.8321,0.74,0.7601,0.7411,0.7768,0.7282,0.7681,0.722,0.7571,0.7944,0.7963
G,0.8049,0.7433,0.7302,0.7718,0.7056,0.7638,0.7213,0.7819,0.6968,0.7352,0.7929,0.8274
H,2.0998,1.8291,1.276,1.042,0.7599,0.4354,0.2766,0.1214,0.0881,0.0901,0.0892,0.0854
